FAMÍLIA;SUB-FAMÍLIA;CODIGO SINAPI;DESCRIÇÃO;FABRICANTE DE REFERÊNCIA;UN.;PREÇO MÉDIO R$;DATA DE ATUALIZAÇÃO;FONTE DO PREÇO MÉDIO
MISCELÂNEA;TERMINAL;NÃO ENCONTRADO;Terminal de Compressão Para Condutores Flexíveis - Curto 1F 1C - M10 - 70mm;TF-70 - Intelli;un.;7,9;09/12/2025;https://www.eletrotrafo.com.br/terminal-de-compressao-10-mm-1f-1c-tf-10-intelli-02140018/p?skuId=2650
MISCELÂNEA;TERMINAL;NÃO ENCONTRADO;Terminal de Compressão Para Condutores Flexíveis - Curto 1F 1C - M10 - 95 mm;TF-95 - Intelli;un.;9,83;09/12/2025;https://www.eletrotrafo.com.br/terminal-de-compressao-10-mm-1f-1c-tf-10-intelli-02140018/p?skuId=2650
MISCELÂNEA;TERMINAL;NÃO ENCONTRADO;Terminal de Compressão Para Condutores Flexíveis - Curto 1F 1C - M12 - 120mm;TF-120-13 - Intelli;un.;;;-
MISCELÂNEA;TERMINAL;NÃO ENCONTRADO;Terminal de Compressão Para Condutores Flexíveis - Curto 1F 1C - M12 - 150mm;TF-150 - Intelli;un.;19,77;09/12/2025;https://www.eletrotrafo.com.br/terminal-de-compressao-10-mm-1f-1c-tf-10-intelli-02140018/p?skuId=2650
MISCELÂNEA;TERMINAL;NÃO ENCONTRADO;Terminal de Compressão Para Condutores Flexíveis - Curto 1F 1C - M12 - 185mm;TF-185 - Intelli;un.;23,82;09/12/2025;https://www.eletrotrafo.com.br/terminal-de-compressao-10-mm-1f-1c-tf-10-intelli-02140018/p?skuId=2650
MISCELÂNEA;TERMINAL;NÃO ENCONTRADO;Terminal de Compressão Para Condutores Flexíveis - Curto 1F 1C - M12 - 240mm;TF-240 - Intelli;un.;38,81;09/12/2025;https://www.eletrotrafo.com.br/terminal-de-compressao-10-mm-1f-1c-tf-10-intelli-02140018/p?skuId=2650
MISCELÂNEA;TERMINAL;NÃO ENCONTRADO;Terminal de Compressão Para Condutores Flexíveis - Curto 1F 1C - M12 - 300mm;TF-300-13 - Intelli;un.;;;-
MISCELÂNEA;TERMINAL;NÃO ENCONTRADO;Terminal de Compressão Para Condutores Flexíveis - Curto 1F 1C - M12 - 400mm;TF-400-13 - Intelli;un.;;;-
MISCELÂNEA;TERMINAL;NÃO ENCONTRADO;Terminal de Compressão Para Condutores Flexíveis - Curto 1F 1C - M12 - 50mm;TF-50-13 - Intelli;un.;;;-
MISCELÂNEA;TERMINAL;NÃO ENCONTRADO;Terminal de Compressão Para Condutores Flexíveis - Curto 1F 1C - M12 - 70mm;TF-70-13 - Intelli;un.;;;-
MISCELÂNEA;TERMINAL;NÃO ENCONTRADO;Terminal de Compressão Para Condutores Flexíveis - Curto 1F 1C - M12 - 95 mm;TF-95-13 - Intelli;un.;;;-
MISCELÂNEA;TERMINAL;NÃO ENCONTRADO;Terminal de Compressão Para Condutores Flexíveis - Curto 1F 1C - M16 - 300mm;TF-300 - Intelli;un.;49,76;09/12/2025;https://www.eletrotrafo.com.br/terminal-de-compressao-10-mm-1f-1c-tf-10-intelli-02140018/p?skuId=2650
MISCELÂNEA;TERMINAL;NÃO ENCONTRADO;Terminal de Compressão Para Condutores Flexíveis - Curto 1F 1C - M16 - 400mm;TF-400 - Intelli;un.;69,63;09/12/2025;https://www.eletrotrafo.com.br/terminal-de-compressao-10-mm-1f-1c-tf-10-intelli-02140018/p?skuId=2650
MISCELÂNEA;TERMINAL;NÃO ENCONTRADO;Terminal de Compressão Para Condutores Flexíveis - Curto 1F 1C - M16 - 500mm;TF-500 - Intelli;un.;105,79;09/12/2025;https://www.eletrotrafo.com.br/terminal-de-compressao-10-mm-1f-1c-tf-10-intelli-02140018/p?skuId=2650
MISCELÂNEA;TERMINAL;NÃO ENCONTRADO;Terminal de Compressão Para Condutores Flexíveis - Curto 1F 1C - M5 - 10mm;TF-10 - Intelli;un.;0,96;09/12/2025;https://www.eletrotrafo.com.br/terminal-de-compressao-10-mm-1f-1c-tf-10-intelli-02140018/p?skuId=2650
MISCELÂNEA;TERMINAL;NÃO ENCONTRADO;Terminal de Compressão Para Condutores Flexíveis - Curto 1F 1C - M5 - 16mm;TF-16 - Intelli;un.;1,49;09/12/2025;https://www.eletrotrafo.com.br/terminal-de-compressao-10-mm-1f-1c-tf-10-intelli-02140018/p?skuId=2650
